"Study","Study.year","Trial","Source","Day","Accommodation","Life.stage","Parasite","Parasite.kind","Pesticide","Pesticide.family","Treatment","Experimental.proportion","Control.proportion","Experimental.sample.size","Control.sample.size","Experimental.died","Experimental.survived","Control.died","Control.survived","lRR","vv"
"Grassl et al 2018",2018,"Gra1","Fig 2",18,"Hive","Adults","Nosema apis","Nosema","Thiamethoxam","Neonicotinoid","parasite",0.640506329,0.641561181,400,400,256.2025316,143.7974684,256.6244724,143.3755276,-0.00164554866230091,0.00279990655061334
"Gregorc et al 2016",2016,"Gre1","Fig 2",33,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","parasite",0.937007874,0.996062992,75,75,70.27559055,4.72440945,74.7047244,0.295275599999997,-0.0611188149463701,0.000949059467615752
"Gregorc et al 2016",2016,"Gre2","Fig 2",33,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","parasite",0.937007874,0.996062992,75,75,70.27559055,4.72440945,74.7047244,0.295275599999997,-0.0611188149463701,0.000949059467615752
"Gregorc et al 2016",2016,"Gre3","Fig 3",8,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","parasite",0.734204793,0.39869281,75,75,55.065359475,19.934640525,29.90196075,45.09803925,0.610596778619906,0.0249361937119544
"Gregorc et al 2016",2016,"Gre4","Fig 3",8,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","parasite",0.734204793,0.39869281,75,75,55.065359475,19.934640525,29.90196075,45.09803925,0.610596778619906,0.0249361937119544
"Papach et al 2017",2017,"Pa1","Fig 3",19,"Enclosures","Immatures","American foulbrood","Other","Thiamethoxam","Neonicotinoid","parasite",0.366167024,0.178265525,96,96,35.152034304,60.847965696,17.1134904,78.8865096,0.719815426756379,0.0660479556931512
"Papach et al 2017",2017,"Pa2","Fig 4",19,"Enclosures","Immatures","American foulbrood","Other","Thiamethoxam","Neonicotinoid","parasite",0.146987952,0.175903614,96,96,14.110843392,81.889156608,16.886746944,79.113253056,-0.179585573060865,0.109252189596333
"Retschnig et al 2014",2014,"Re1","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","parasite",0.349168646,0.026128266,80,80,27.93349168,52.06650832,2.09026128,77.90973872,2.5925373150218,0.489208411254146
"Retschnig et al 2014",2014,"Re2","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","parasite",0.349168646,0.026128266,80,80,27.93349168,52.06650832,2.09026128,77.90973872,2.5925373150218,0.489208411254146
"Retschnig et al 2015",2015,"Ret1","Fig 1",14,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Neonicotinoid","parasite",0.512747875,0.439093484,594,594,304.57223775,289.42776225,260.821529496,333.178470504,0.15507191461081,0.00375032929537723
"Retschnig et al 2015",2015,"Ret2","Fig 2",11,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Neonicotinoid","parasite",0.583569405,0.575070822,594,594,346.64022657,247.35977343,341.592068268,252.407931732,0.0146701887601567,0.00244530048490996
"Straub et al 2019",2019,"St1","SI",23,"Enclosures","Adults","Varroa","Other","Thiamethoxam and clothianidin","Neonicotinoid","parasite",0.892086331,0.537906137,278,277,248.000000018,29.999999982,148.999999949,128.000000051,0.505878833131087,0.00353643685708644
"Straub et al 2019",2019,"St2","SI",17,"Enclosures","Adults","Varroa","Other","Thiamethoxam and clothianidin","Neonicotinoid","parasite",0.733606557,0.433224756,244,307,178.999999908,65.000000092,133.000000092,173.999999908,0.526716198707301,0.00574969952295678
"Vidau et al 2011",2011,"Vi1","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.476340694,0.100946372,150,150,71.4511041,78.5488959,15.1419558,134.8580442,1.55154393637695,0.0667039184793301
"Vidau et al 2011",2011,"Vi2","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","parasite",0.476340694,0.100946372,150,150,71.4511041,78.5488959,15.1419558,134.8580442,1.55154393637695,0.0667039184793301
"Alaux et al 2010",2010,"Al1","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","pesticide",0.105860113,0.058601134,270,270,28.58223051,241.41776949,15.82230618,254.17769382,0.59136448594528,0.0907812770401157
"Alaux et al 2010",2010,"Al2","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","pesticide",0.166666667,0.05988024,270,270,45.00000009,224.99999991,16.1676648,253.8323352,1.02364924419465,0.0766666661274074
"Alaux et al 2010",2010,"Al3","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","pesticide",0.182297552,0.061770245,270,270,49.22033904,220.77966096,16.67796615,253.32203385,1.08221847715312,0.0728687463966322
